CC,ACT,BASE,GOLD,C_CAL,N_CAL,MATH,HIT,EXPLANATION
0012,0,0.001,0.0,0.0,0.31,0.031,✅,This transaction for **$2.35** at *Dibbert and Sons (Enterta..
0186,0,0.0,0.0,0.001,0.655,0.066,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9986,1,0.084,0.011,1.0,1.0,0.802,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9027,0,0.0,0.0,0.001,0.67,0.067,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
1856,0,0.0,0.0,0.002,0.602,0.061,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
5533,1,0.053,0.017,1.0,1.0,0.803,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
0024,0,0.001,0.0,0.009,0.693,0.07,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
4367,0,0.006,0.002,0.005,0.736,0.076,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9669,1,0.006,0.0,0.002,0.444,0.045,❌,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9027,0,0.0,0.0,0.0,0.536,0.054,✅,"This transaction for **$94.99** at *Romaguera, Wehner and Tr.."
6548,1,0.997,0.09,0.029,0.877,0.325,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
6071,1,0.936,0.167,0.003,0.722,0.29,❌,Neural Math analysis complete (Policy timeout)...
4121,1,0.289,0.045,0.001,0.462,0.082,❌,Neural Math analysis complete (Policy timeout)...
3773,1,1.0,0.584,0.043,0.862,0.476,✅,Neural Math analysis complete (Policy timeout)...
9997,1,0.94,0.251,0.002,0.487,0.243,❌,Neural Math analysis complete (Policy timeout)...
9330,1,0.486,0.146,0.006,0.942,0.389,✅,Neural Math analysis complete (Policy timeout)...
0251,0,0.001,0.0,0.031,0.904,0.094,✅,Neural Math analysis complete (Policy timeout)...
0758,1,0.023,0.023,1.0,1.0,0.805,✅,Neural Math analysis complete (Policy timeout)...
3748,0,0.015,0.001,0.037,0.875,0.092,✅,Neural Math analysis complete (Policy timeout)...
1743,0,0.0,0.0,0.004,0.88,0.088,✅,Neural Math analysis complete (Policy timeout)...
0758,0,0.0,0.0,0.002,0.835,0.084,✅,Neural Math analysis complete (Policy timeout)...
7350,1,0.998,0.005,0.994,0.991,0.795,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
8315,0,0.096,0.005,0.009,0.685,0.073,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
7270,0,0.011,0.001,0.002,0.929,0.094,✅,Neural Math analysis complete (Policy timeout)...
0132,1,0.999,0.005,0.995,0.993,0.796,✅,Neural Math analysis complete (Policy timeout)...
0516,0,0.011,0.001,0.0,0.662,0.067,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
8979,0,0.0,0.0,0.0,0.264,0.026,✅,Neural Math analysis complete (Policy timeout)...
3890,1,0.003,0.001,0.0,0.552,0.056,❌,Neural Math analysis complete (Policy timeout)...
9122,1,1.0,0.26,0.735,0.955,0.734,✅,Neural Math analysis complete (Policy timeout)...
9364,0,0.001,0.0,0.005,0.371,0.038,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
7414,1,0.995,0.1,0.029,0.945,0.436,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
2802,1,0.039,0.002,0.983,0.999,0.795,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
5374,1,0.999,0.342,0.485,0.986,0.677,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
5069,1,0.999,0.651,0.001,0.463,0.319,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
6510,0,0.0,0.0,0.003,0.297,0.03,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
3984,1,0.507,0.084,1.0,1.0,0.817,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
2387,1,0.041,0.001,0.001,0.757,0.076,❌,"This transaction for **$8.08** at *Lehner, Reichert and Mill.."
0465,0,0.0,0.0,0.028,0.987,0.101,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
1952,0,0.003,0.0,0.001,0.515,0.052,✅,This transaction for **$53.31 at Kub-Heaney (Health/Fitness)..
9669,1,0.999,0.014,0.871,0.998,0.763,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
2095,1,0.099,0.02,1.0,1.0,0.804,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
6166,0,0.0,0.0,0.069,0.754,0.082,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
8276,1,0.007,0.001,0.05,0.808,0.086,❌,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
0136,0,0.0,0.0,0.009,0.902,0.091,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9584,1,0.973,0.427,0.002,0.491,0.29,❌,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
8417,0,0.004,0.0,0.002,0.691,0.069,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
9909,0,0.005,0.0,0.001,0.268,0.027,✅,This transaction for **$127.20** at **Stracke-Lemke (grocery..
0341,1,0.075,0.026,0.003,0.648,0.086,❌,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
4802,1,0.052,0.013,0.997,1.0,0.802,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
2597,1,0.43,0.09,1.0,1.0,0.818,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
1747,1,0.96,0.591,0.005,0.615,0.375,✅,Neural Math analysis complete (Policy timeout)...
4630,0,0.001,0.0,0.003,0.847,0.085,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
9158,0,0.0,0.0,0.006,0.933,0.094,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
8216,0,0.0,0.0,0.02,0.986,0.101,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
5905,1,0.999,0.4,0.714,0.993,0.775,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
5105,1,0.998,0.022,0.999,1.0,0.804,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
8990,0,0.116,0.01,0.076,0.992,0.115,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
3232,0,0.001,0.0,0.001,0.568,0.057,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
0989,1,1.0,0.029,0.999,0.997,0.804,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
2529,1,1.0,0.529,0.055,0.758,0.444,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
3451,0,0.0,0.0,0.017,0.89,0.091,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
8089,1,1.0,0.489,0.024,0.546,0.335,✅,Neural Math analysis complete (Policy timeout)...
3820,1,0.086,0.008,1.0,1.0,0.802,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
7795,1,0.999,0.114,0.024,0.791,0.361,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
4557,0,0.05,0.007,0.008,0.581,0.065,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
0212,0,0.0,0.0,0.041,1.0,0.104,✅,RULE-MCC-4863: Shopping/Misc Net > $400. RISK=0.85.  RULE-PR..
5058,1,1.0,0.018,0.972,0.968,0.779,✅,RULE-PROBE-4837: Small transaction (<$100) in high-risk cate..
